,,Learning Rate,
Wall time,,Step,Value
1593221536,,1,1.24E-07
1593221731,,101,1.25E-05
1593221891,,201,2.48E-05
1593222053,,301,3.72E-05
1593222214,,401,4.95E-05
1593222376,,501,6.19E-05
1593222537,,601,7.42E-05
1593222698,,701,8.66E-05
1593222859,,801,9.89E-05
1593223021,,901,0.000111297
1593223181,,1001,0.00012365
1593223342,,1101,0.000136003
1593223503,,1201,0.000148355
1593223664,,1301,0.000160708
1593223826,,1401,0.000173061
1593223987,,1501,0.000185413
1593224148,,1601,0.000197766
1593224309,,1701,0.000210119
1593224470,,1801,0.000222471
1593224631,,1901,0.000234824
1593224792,,2001,0.000247176
1593224953,,2101,0.000259529
1593225114,,2201,0.000271882
1593225275,,2301,0.000284234
1593225436,,2401,0.000296587
1593225597,,2501,0.00030894
1593225757,,2601,0.000321292
1593225918,,2701,0.000333645
1593226080,,2801,0.000345998
1593226240,,2901,0.00035835
1593226401,,3001,0.000370703
1593226561,,3101,0.000383056
1593226722,,3201,0.000395408
1593226883,,3301,0.000407761
1593227044,,3401,0.000420114
1593227204,,3501,0.000432466
1593227365,,3601,0.000444819
1593227525,,3701,0.000457171
1593227687,,3801,0.000469524
1593227847,,3901,0.000481877
1593228009,,4001,0.000494229
1593228190,,4101,0.000506582
1593228350,,4201,0.000518935
1593228511,,4301,0.000531287
1593228670,,4401,0.00054364
1593228829,,4501,0.000555993
1593228988,,4601,0.000568345
1593229147,,4701,0.000580698
1593229306,,4801,0.000593051
1593229465,,4901,0.000605403
1593229624,,5001,0.000617756
1593229784,,5101,0.000630109
1593229944,,5201,0.000642461
1593230103,,5301,0.000654814
1593230262,,5401,0.000667166
1593230422,,5501,0.000679519
1593230580,,5601,0.000691872
1593230739,,5701,0.000704224
1593230898,,5801,0.000716577
1593231057,,5901,0.00072893
1593231216,,6001,0.000741282
1593231375,,6101,0.000753635
1593231534,,6201,0.000765988
1593231694,,6301,0.00077834
1593231853,,6401,0.000790693
1593232012,,6501,0.000803046
1593232171,,6601,0.000815398
1593232330,,6701,0.000827751
1593232489,,6801,0.000840104
1593232649,,6901,0.000852456
1593232808,,7001,0.000864809
1593232968,,7101,0.000877162
1593233126,,7201,0.000889514
1593233286,,7301,0.000901867
1593233445,,7401,0.000914219
1593233604,,7501,0.000926572
1593233764,,7601,0.000938925
1593233924,,7701,0.000951277
1593234083,,7801,0.00096363
1593234242,,7901,0.000975983
1593234401,,8001,0.00098815
1593234580,,8101,0.000982032
1593234739,,8201,0.000976026
1593234898,,8301,0.00097013
1593235057,,8401,0.000964339
1593235217,,8501,0.00095865
1593235376,,8601,0.000953061
1593235534,,8701,0.000947568
1593235692,,8801,0.000942169
1593235850,,8901,0.000936862
1593236010,,9001,0.000931643
1593236170,,9101,0.000926511
1593236329,,9201,0.000921462
1593236488,,9301,0.000916495
1593236647,,9401,0.000911608
1593236806,,9501,0.000906798
1593236965,,9601,0.000902063
1593237124,,9701,0.000897401
1593237283,,9801,0.000892812
1593237442,,9901,0.000888291
1593237602,,10001,0.000883839
1593237760,,10101,0.000879453
1593237919,,10201,0.000875132
1593238078,,10301,0.000870874
1593238240,,10401,0.000866677
1593238399,,10501,0.000862541
1593238558,,10601,0.000858463
1593238718,,10701,0.000854442
1593238877,,10801,0.000850478
1593239036,,10901,0.000846568
1593239196,,11001,0.000842711
1593239355,,11101,0.000838907
1593239514,,11201,0.000835154
1593239673,,11301,0.000831451
1593239832,,11401,0.000827796
1593239991,,11501,0.00082419
1593240151,,11601,0.00082063
1593240309,,11701,0.000817116
1593240469,,11801,0.000813646
1593240628,,11901,0.000810221
1593240787,,12001,0.000806838
1593240966,,12101,0.000803497
1593241126,,12201,0.000800198
1593241285,,12301,0.000796938
1593241445,,12401,0.000793719
1593241604,,12501,0.000790538
1593241764,,12601,0.000787395
1593241923,,12701,0.000784289
1593242083,,12801,0.00078122
1593242242,,12901,0.000778186
1593242402,,13001,0.000775187
1593242560,,13101,0.000772223
1593242720,,13201,0.000769293
1593242880,,13301,0.000766395
1593243039,,13401,0.000763531
1593243198,,13501,0.000760698
1593243358,,13601,0.000757896
1593243517,,13701,0.000755125
1593243676,,13801,0.000752384
1593243835,,13901,0.000749673
1593243995,,14001,0.000746991
1593244154,,14101,0.000744338
1593244314,,14201,0.000741712
1593244474,,14301,0.000739115
1593244633,,14401,0.000736544
1593244793,,14501,0.000734
1593244952,,14601,0.000731482
1593245111,,14701,0.00072899
1593245270,,14801,0.000726523
1593245430,,14901,0.000724081
1593245589,,15001,0.000721664
1593245748,,15101,0.00071927
1593245908,,15201,0.000716901
1593246067,,15301,0.000714554
1593246226,,15401,0.00071223
1593246385,,15501,0.000709929
1593246544,,15601,0.00070765
1593246703,,15701,0.000705393
1593246862,,15801,0.000703158
1593247022,,15901,0.000700943
1593247182,,16001,0.000698749
1593247362,,16101,0.000696576
1593247522,,16201,0.000694423
1593247681,,16301,0.00069229
1593247840,,16401,0.000690176
1593247999,,16501,0.000688081
1593248158,,16601,0.000686006
1593248317,,16701,0.000683949
1593248476,,16801,0.000681911
1593248635,,16901,0.00067989
1593248795,,17001,0.000677888
1593248954,,17101,0.000675903
1593249112,,17201,0.000673935
1593249271,,17301,0.000671985
1593249430,,17401,0.000670051
1593249590,,17501,0.000668134
1593249749,,17601,0.000666233
1593249908,,17701,0.000664349
1593250068,,17801,0.00066248
1593250226,,17901,0.000660627
1593250385,,18001,0.00065879
1593250544,,18101,0.000656967
1593250703,,18201,0.00065516
1593250863,,18301,0.000653368
1593251022,,18401,0.00065159
1593251182,,18501,0.000649826
1593251341,,18601,0.000648077
1593251501,,18701,0.000646342
1593251660,,18801,0.000644621
1593251819,,18901,0.000642914
1593251978,,19001,0.00064122
1593252137,,19101,0.000639539
1593252296,,19201,0.000637871
1593252456,,19301,0.000636217
1593252616,,19401,0.000634575
1593252776,,19501,0.000632946
1593252934,,19601,0.000631329
1593253093,,19701,0.000629725
1593253253,,19801,0.000628133
1593253413,,19901,0.000626553
1593253571,,20001,0.000624984
1593253751,,20101,0.000623428
1593253910,,20201,0.000621883
1593254070,,20301,0.000620349
1593254229,,20401,0.000618827
1593254388,,20501,0.000617316
1593254547,,20601,0.000615816
1593254707,,20701,0.000614327
1593254866,,20801,0.000612848
1593255025,,20901,0.00061138
1593255184,,21001,0.000609923
1593255343,,21101,0.000608476
1593255503,,21201,0.000607039
1593255663,,21301,0.000605613
1593255822,,21401,0.000604196
1593255981,,21501,0.00060279
1593256141,,21601,0.000601393
1593256299,,21701,0.000600005
1593256458,,21801,0.000598628
1593256619,,21901,0.000597259
1593256778,,22001,0.000595901
1593256938,,22101,0.000594551
1593257098,,22201,0.00059321
1593257257,,22301,0.000591879
1593257417,,22401,0.000590556
1593257576,,22501,0.000589243
1593257735,,22601,0.000587938
1593257895,,22701,0.000586641
1593258054,,22801,0.000585353
1593258214,,22901,0.000584074
